id,title,year,duration,genre,rating_imdb,oscar
tt10950526,Love Goes Public,2019,68,Documentary,9.6,0
tt29630400,Day by Day: The Dynasty,2023,129,Documentary,9.6,0
tt30247072,SEVENTEEN TOUR 'FOLLOW' to JAPAN: LIVE VIEWING,2023,210,"Documentary, Music",9.5,0
tt31353888,The Cowboy and the Queen,2023,85,"Biography, Documentary",9.4,0
tt34227779,Laufey's A Night at the Symphony: Hollywood Bowl,2024,98,Music,9.4,0
tt11119936,BTS World Tour 'Love Yourself: Speak Yourself' (The Final) Seoul Live Viewing,2019,210,Music,9.4,0
tt0126079,Steeper & Deeper,1992,92,"Documentary, Sport",9.4,0
tt9386922,Twiceland,2018,110,"Documentary, Music",9.3,0
tt33175825,Attack on Titan the Movie: The Last Attack,2024,145,"Action, Animation, Drama",9.3,0
tt0386309,Bakit kailangan ng ibon ang pakpak,1997,87,Drama,9.3,0
tt0111161,The Shawshank Redemption,1994,142,"Epic, Period Drama, Prison Drama, Drama",9.3,7
tt0424189,Isn't This a Time! A Tribute Concert for Harold Leventhal,2004,90,Documentary,9.2,0
tt30934481,Inheritance to Love,2024,88,"Comedy, Romance",9.2,0
tt0259534,Ramayana: The Legend of Prince Rama,1993,135,"Anime, Fantasy Epic, Sword  Sorcery, Action, Adventure, Animation, Drama, Fantasy, Musical, Romance",9.2,0
tt15800448,Ends of the Earth,2021,84,Documentary,9.2,0
tt1699158,The Legend of Pale Male,2009,85,Documentary,9.2,0
tt13614418,Remember This,2022,95,Drama,9.1,0
tt15104810,Valleyheart,2024,98,Crime,9.1,0
tt10766808,I Love Lucy: A Colorized Celebration,2019,155,Comedy,9.1,0
tt9222904,More Than Funny,2018,114,Comedy,9.1,0
tt0468569,The Dark Knight,2008,152,"Action Epic, Epic, Superhero, Action, Crime, Drama, Thriller",9.0,0
tt8829850,Making the Five Heartbeats,2018,85,"Documentary, Music",9.0,0
tt33054514,The Lion King,1994,89,"Action, Adventure",9.0,0
tt0108052,Schindler's List,1993,195,"Docudrama, Epic, Historical Epic, Period Drama, Prison Drama, Tragedy, Biography, Drama, History",9.0,0
tt0267277,Ashi Hi Banwa Banwi,1988,137,Comedy,9.0,0
tt32277067,Something to Stand for with Mike Rowe,2024,96,History,9.0,0
tt0353975,Sandesham,1991,138,"Satire, Comedy, Drama",9.0,0
tt0096403,Time of Violence,1988,288,Drama,9.0,0
tt0167260,The Lord of the Rings: The Return of the King,2003,201,"Adventure Epic, Epic, Fantasy Epic, Mountain Adventure, Quest, Sword  Sorcery, Tragedy, Adventure, Drama, Fantasy",9.0,0
tt3189256,Om,1995,150,"Crime, Drama, Romance",8.9,0
tt0237376,Kireedam,1989,124,"Action, Drama",8.9,0
tt0249336,Aha Naa Pellanta,1987,147,Comedy,8.9,0
tt0110912,Pulp Fiction,1994,154,"Dark Comedy, Drug Crime, Gangster, Crime, Drama",8.9,0
tt7240130,PGS: Intuition Is Your Personal Guidance System,2017,83,Documentary,8.9,0
tt14961016,I'm Still Here,2024,136,"Docudrama, Period Drama, Political Drama, Biography, Drama, History",8.9,0
tt9448868,BTS World Tour: Love Yourself in Seoul,2018,112,"Documentary, Music",8.9,0
tt0170783,Yesterday,1988,84,Drama,8.9,0
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,178,"Adventure Epic, Epic, Fantasy Epic, Quest, Sword  Sorcery, Adventure, Drama, Fantasy",8.9,0
tt7812334,Suicide the Ripple Effect,2018,93,Documentary,8.9,0
tt16899584,The Beatles: Get Back - The Rooftop Concert,2022,65,"Concert, Music Documentary, Documentary, Music",8.9,0
tt4912834,Chhutir Ghonta,1980,213,Drama,8.9,0
tt18966752,Take Me to the River: New Orleans,2022,110,Documentary,8.9,0
tt33184621,The School Duel,2024,90,Thriller,8.9,0
tt23849204,12th Fail,2023,147,"Docudrama, Biography, Drama",8.8,0
tt5260002,Apparition Hill,2016,115,Documentary,8.8,0
tt15209904,Nurse Unseen,2023,93,Documentary,8.8,0
tt0491691,Sacred Stage: The Mariinsky Theater,2005,61,Documentary,8.8,0
tt8593814,BANDSTAND: The Broadway Musical on Screen,2018,130,Musical,8.8,0
tt0079889,Sankarabharanam,1980,143,"Drama, Music, Romance",8.8,0
tt10471420,Rush: Cinema Strangiato 2019,2019,120,Music,8.8,0
tt0086231,Sagara Sangamam,1983,160,"Drama, Music, Musical, Romance",8.8,0
tt0095657,The Moromete Family,1987,142,Drama,8.8,0
tt0137523,Fight Club,1999,139,"Psychological Drama, Workplace Drama, Drama",8.8,1
tt0167261,The Lord of the Rings: The Two Towers,2002,179,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Quest, Sword  Sorcery, Adventure, Drama, Fantasy",8.8,0
tt0084302,Maratonci trce pocasni krug,1982,92,"Dark Comedy, Satire, Slapstick, Comedy, Drama",8.8,0
tt0086935,Balkan Spy,1984,95,"Satire, Comedy, Drama",8.8,0
tt21337754,A Little Family Drama,2024,87,"Comedy, Drama",8.8,0
tt1375666,Inception,2010,148,"Action Epic, Adventure Epic, Psychological Thriller, SciFi Epic, Action, Adventure, SciFi, Thriller",8.8,0
tt11737772,Chal Mera Putt 2,2020,124,Drama,8.8,0
tt1035731,Dare Not Walk Alone,2006,83,Documentary,8.8,0
tt0214896,Maa,1984,127,Drama,8.8,0
tt3163908,Veil of Tears,2014,90,"News, Documentary, Drama",8.8,0
tt2260728,This Binary Universe,2012,107,Documentary,8.8,0
tt2330098,Upendra,1999,138,"Drama, Thriller",8.8,0
tt0109830,Forrest Gump,1994,142,"Epic, Drama, Romance",8.8,0
tt14402042,Bad Shabbos,2024,84,Comedy,8.8,0
tt0310865,Chann Pardesee,1981,147,Drama,8.7,0
tt15097216,Jai Bhim,2021,164,"Legal Drama, Crime, Drama",8.7,0
tt0133093,The Matrix,1999,136,"Action Epic, Artificial Intelligence, Cyberpunk, Dystopian SciFi, Gun Fu, Martial Arts, SciFi Epic, Action, SciFi",8.7,0
tt10189514,Soorarai Pottru,2020,153,Drama,8.7,0
tt0090015,Shoah,1985,566,"History Documentary, Documentary, History, War",8.7,0
tt3828848,Women Like Us,2017,92,Documentary,8.7,0
tt0214915,Manichithrathazhu,1993,169,"Comedy, Horror, Mystery, Thriller",8.7,0
tt0088178,Stop Making Sense,1984,88,"Concert, Music Documentary, Documentary, Music",8.7,0
tt0105575,Thevar Magan,1992,145,"Action, Drama, Romance",8.7,0
tt4526922,The Unknowns,2016,85,Documentary,8.7,0
tt0099685,Goodfellas,1990,145,"Docudrama, Gangster, True Crime, Biography, Crime, Drama",8.7,0
tt0076276,Who's Singin' Over There?,1980,86,"Adventure, Comedy, Drama, War",8.7,0
tt0093603,Nayakan,1987,145,"Epic, Gangster, Crime, Drama",8.7,0
tt0291855,Devasuram,1993,187,"Action, Drama, Thriller",8.7,0
tt0275942,Aszparuh,1981,323,"Drama, History, War",8.7,0
tt1763245,Lost Bohemia,2010,77,Documentary,8.7,0
tt3178292,A: Film by Upendra,1998,150,Drama,8.7,0
tt0816692,Interstellar,2014,169,"Adventure Epic, Epic, Quest, SciFi Epic, Space SciFi, Adventure, Drama, SciFi",8.7,0
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,124,"Action Epic, Adventure Epic, Dark Fantasy, Fantasy Epic, Globetrotting Adventure, Quest, SciFi Epic, Space SciFi, Sword  Sorcery, Action",8.7,0
tt16492678,Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,2021,87,"Anime, Action, Animation, Fantasy",8.7,0
tt14571278,The Lion King,1997,0,Musical,8.7,0
tt0255306,Kilukkam,1991,155,Comedy,8.6,0
