id,title,year,duration,genre,rating_imdb,oscar
tt29630400,Day by Day: The Dynasty,2023,129,Documentary,9.6,0
tt10950526,Love Goes Public,2019,68,Documentary,9.6,0
tt30247072,SEVENTEEN TOUR 'FOLLOW' to JAPAN: LIVE VIEWING,2023,210,"Documentary, Music",9.5,0
tt11119936,BTS World Tour 'Love Yourself: Speak Yourself' (The Final) Seoul Live Viewing,2019,210,Music,9.4,0
tt0126079,Steeper & Deeper,1992,92,"Documentary, Sport",9.4,0
tt34227779,Laufey's A Night at the Symphony: Hollywood Bowl,2024,98,Music,9.4,0
tt31353888,The Cowboy and the Queen,2023,85,"Biography, Documentary",9.4,0
tt0386309,Bakit kailangan ng ibon ang pakpak,1997,87,Drama,9.3,0
tt33175825,Attack on Titan the Movie: The Last Attack,2024,145,"Action, Animation, Drama",9.3,0
tt9386922,Twiceland,2018,110,"Documentary, Music",9.3,0
tt0111161,The Shawshank Redemption,1994,142,"Epic, Period Drama, Prison Drama, Drama",9.3,7
tt0252487,The Chaos Class,1975,85,Comedy,9.2,0
tt0424189,Isn't This a Time! A Tribute Concert for Harold Leventhal,2004,90,Documentary,9.2,0
tt0259534,Ramayana: The Legend of Prince Rama,1993,135,"Anime, Fantasy Epic, Sword  Sorcery, Action, Adventure, Animation, Drama, Fantasy, Musical, Romance",9.2,0
tt0068646,The Godfather,1972,175,"Epic, Gangster, Tragedy, Crime, Drama",9.2,0
tt1699158,The Legend of Pale Male,2009,85,Documentary,9.2,0
tt15800448,Ends of the Earth,2021,84,Documentary,9.2,0
tt0252687,Maratha Tituka Melvava,1964,137,Drama,9.2,0
tt30934481,Inheritance to Love,2024,88,"Comedy, Romance",9.2,0
tt15104810,Valleyheart,2024,98,Crime,9.1,0
tt9222904,More Than Funny,2018,114,Comedy,9.1,0
tt13614418,Remember This,2022,95,Drama,9.1,0
tt10766808,I Love Lucy: A Colorized Celebration,2019,155,Comedy,9.1,0
tt1999819,Aama,1964,109,"Action, Drama",9.1,0
tt33054514,The Lion King,1994,89,"Action, Adventure",9.0,0
